segment,segment_value,customer_count,churned_count,churn_rate,pp_difference_from_overall
Geography,France,5014,810,0.1615,-4.22
Geography,Germany,2509,814,0.3244,12.07
Geography,Spain,2477,413,0.1667,-3.7
Gender,Female,4543,1139,0.2507,4.7
Gender,Male,5457,898,0.1646,-3.91
AgeGroup,18–30,1968,148,0.0752,-12.85
AgeGroup,31–40,4449,538,0.1209,-8.28
AgeGroup,41–50,2319,788,0.3398,13.61
AgeGroup,51–60,797,448,0.5621,35.84
AgeGroup,60+,464,115,0.2478,4.41
ProductGroup,1,5084,1409,0.2771,7.34
ProductGroup,2,4590,348,0.0758,-12.79
ProductGroup,Three+,326,280,0.8589,65.52
ActivityStatus,Active,5151,735,0.1427,-6.1
ActivityStatus,Inactive,4849,1302,0.2685,6.48
CreditCategory,Excellent,1860,373,0.2005,-0.32
CreditCategory,Fair,3350,683,0.2039,0.02
CreditCategory,Good,2397,451,0.1882,-1.55
CreditCategory,Poor,2393,530,0.2215,1.78
